anio,cveestado,estado,cveddr,ddr,cvecader,cader,cvempio,municipio,cvecultivo,cultivo,cvevariedad,variedad,cveunidad,unidadmedida,cveciclo,ciclo,cvemoda,modalidad,sembrada,cosechada,siniestrada,produccion,rendimiento,pmr,valor
2011,25,SINALOA,133,LOS MOCHIS,1,CHOIX,7,CHOIX,800,AJONJOLÍ,0,,500,Tonelada,2,PRIMAVERA-VERANO,2,TEMPORAL,12360.0,11895.0,465.0,5647.41,0.48,16200.0,91488042.0
2011,25,SINALOA,133,LOS MOCHIS,1,CHOIX,7,CHOIX,5300,CACAHUATE,0,,500,Tonelada,2,PRIMAVERA-VERANO,2,TEMPORAL,8840.0,8430.0,410.0,3773.0,0.45,10100.0,38107300.0
2011,25,SINALOA,133,LOS MOCHIS,1,CHOIX,7,CHOIX,14200,FRIJOL,100,AZUFRADO,500,Tonelada,2,PRIMAVERA-VERANO,2,TEMPORAL,480.0,480.0,0.0,335.12,0.7,20000.0,6702400.0
2011,25,SINALOA,133,LOS MOCHIS,1,CHOIX,7,CHOIX,19700,MAIZ GRANO,200,BLANCO,500,Tonelada,2,PRIMAVERA-VERANO,2,TEMPORAL,2150.0,1910.0,240.0,240.66,0.13,4600.0,1107036.0
2011,25,SINALOA,133,LOS MOCHIS,1,CHOIX,7,CHOIX,24800,PASTOS Y PRADERAS EN VERDE,0,,500,Tonelada,3,PERENNES,1,RIEGO,6123.0,0.0,6123.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,1,CHOIX,7,CHOIX,24800,PASTOS Y PRADERAS EN VERDE,0,,500,Tonelada,3,PERENNES,2,TEMPORAL,6123.0,6123.0,0.0,22961.25,3.75,700.0,16072875.0
2011,25,SINALOA,133,LOS MOCHIS,1,CHOIX,7,CHOIX,28700,SANDIA,200,CHARLESTON (GRAY),500,Tonelada,2,PRIMAVERA-VERANO,2,TEMPORAL,410.0,410.0,0.0,1043.35,2.55,1200.0,1252020.0
2011,25,SINALOA,133,LOS MOCHIS,1,CHOIX,7,CHOIX,29500,SORGO GRANO,0,,500,Tonelada,2,PRIMAVERA-VERANO,2,TEMPORAL,1900.0,1900.0,0.0,3781.0,1.99,2500.0,9452500.0
2011,25,SINALOA,133,LOS MOCHIS,2,EL FUERTE,10,EL FUERTE,500,AGAVE,200,TEQUILERO,500,Tonelada,3,PERENNES,1,RIEGO,30.0,0.0,30.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,2,EL FUERTE,10,EL FUERTE,800,AJONJOLÍ,0,,500,Tonelada,2,PRIMAVERA-VERANO,2,TEMPORAL,330.0,231.0,99.0,35.0,0.15,16200.0,567000.0
2011,25,SINALOA,133,LOS MOCHIS,2,EL FUERTE,10,EL FUERTE,1600,ALFALFA ACHICALADA,0,,500,Tonelada,3,PERENNES,1,RIEGO,169.0,169.0,0.0,2670.2,15.8,2250.0,6007950.0
2011,25,SINALOA,133,LOS MOCHIS,2,EL FUERTE,10,EL FUERTE,5300,CACAHUATE,0,,500,Tonelada,2,PRIMAVERA-VERANO,2,TEMPORAL,229.0,160.0,69.0,48.0,0.3,10100.0,484800.0
2011,25,SINALOA,133,LOS MOCHIS,2,EL FUERTE,10,EL FUERTE,6500,CAÑA DE AZUCAR,200,INDUSTRIAL,500,Tonelada,3,PERENNES,1,RIEGO,225.0,225.0,0.0,16425.0,73.0,390.0,6405750.0
2011,25,SINALOA,133,LOS MOCHIS,2,EL FUERTE,10,EL FUERTE,6900,CARTAMO,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,5.0,0.0,5.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,2,EL FUERTE,10,EL FUERTE,7400,CEBOLLA,100,BLANCA,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,4.0,0.0,4.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,2,EL FUERTE,10,EL FUERTE,11400,CHILE VERDE,200,JALAPEÑO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,53.0,25.0,28.0,281.0,11.24,3500.0,983500.0
2011,25,SINALOA,133,LOS MOCHIS,2,EL FUERTE,10,EL FUERTE,14200,FRIJOL,100,AZUFRADO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,470.0,376.0,94.0,376.0,1.0,12000.0,4512000.0
2011,25,SINALOA,133,LOS MOCHIS,2,EL FUERTE,10,EL FUERTE,14200,FRIJOL,100,AZUFRADO,500,Tonelada,2,PRIMAVERA-VERANO,2,TEMPORAL,85.0,59.0,26.0,11.0,0.19,20000.0,220000.0
2011,25,SINALOA,133,LOS MOCHIS,2,EL FUERTE,10,EL FUERTE,14200,FRIJOL,500,MAYOCOBA,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,127.0,101.0,26.0,101.0,1.0,12000.0,1212000.0
2011,25,SINALOA,133,LOS MOCHIS,2,EL FUERTE,10,EL FUERTE,19700,MAIZ GRANO,200,BLANCO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,5596.0,1474.0,4122.0,10465.4,7.1,3700.0,38721980.0
2011,25,SINALOA,133,LOS MOCHIS,2,EL FUERTE,10,EL FUERTE,19700,MAIZ GRANO,200,BLANCO,500,Tonelada,2,PRIMAVERA-VERANO,2,TEMPORAL,695.0,486.0,209.0,778.0,1.6,4600.0,3578800.0
2011,25,SINALOA,133,LOS MOCHIS,2,EL FUERTE,10,EL FUERTE,24800,PASTOS Y PRADERAS EN VERDE,0,,500,Tonelada,3,PERENNES,1,RIEGO,28.0,0.0,28.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,2,EL FUERTE,10,EL FUERTE,24800,PASTOS Y PRADERAS EN VERDE,0,,500,Tonelada,3,PERENNES,2,TEMPORAL,2803.0,2803.0,0.0,11071.85,3.95,700.0,7750295.0
2011,25,SINALOA,133,LOS MOCHIS,2,EL FUERTE,10,EL FUERTE,28700,SANDIA,200,CHARLESTON (GRAY),500,Tonelada,2,PRIMAVERA-VERANO,2,TEMPORAL,2398.0,2.0,2396.0,18.0,9.0,2055.56,37000.08
2011,25,SINALOA,133,LOS MOCHIS,2,EL FUERTE,10,EL FUERTE,29500,SORGO GRANO,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,580.0,512.0,68.0,3739.65,7.3,3600.0,13462740.0
2011,25,SINALOA,133,LOS MOCHIS,2,EL FUERTE,10,EL FUERTE,29500,SORGO GRANO,0,,500,Tonelada,2,PRIMAVERA-VERANO,2,TEMPORAL,2398.0,1678.0,720.0,671.0,0.4,2800.0,1878800.0
2011,25,SINALOA,133,LOS MOCHIS,2,EL FUERTE,10,EL FUERTE,30800,TOMATE ROJO (JITOMATE),800,SALADETTE,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,150.0,59.0,91.0,708.0,12.0,10000.0,7080000.0
2011,25,SINALOA,133,LOS MOCHIS,2,EL FUERTE,10,EL FUERTE,31000,TOMATE VERDE,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,335.0,335.0,0.0,2680.0,8.0,1400.0,3752000.0
2011,25,SINALOA,133,LOS MOCHIS,2,EL FUERTE,10,EL FUERTE,31500,TRIGO GRANO,100,CRISTALINO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,520.0,520.0,0.0,2339.0,4.5,3750.0,8771250.0
2011,25,SINALOA,133,LOS MOCHIS,2,EL FUERTE,10,EL FUERTE,32250,VARIOS,0,,500,Tonelada,2,PRIMAVERA-VERANO,2,TEMPORAL,1179.0,1179.0,0.0,5895.0,5.0,1500.0,8842500.0
2011,25,SINALOA,133,LOS MOCHIS,3,EL CARRIZO,1,AHOME,500,AGAVE,200,TEQUILERO,500,Tonelada,3,PERENNES,1,RIEGO,60.0,0.0,60.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,3,EL CARRIZO,1,AHOME,1600,ALFALFA ACHICALADA,0,,500,Tonelada,3,PERENNES,1,RIEGO,101.0,101.0,0.0,1746.67,17.29,2250.0,3930007.5
2011,25,SINALOA,133,LOS MOCHIS,3,EL CARRIZO,1,AHOME,1800,ALGODÓN HUESO,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,98.0,0.0,98.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,3,EL CARRIZO,1,AHOME,5800,CALABACITA,200,ITALIANA (Zucchini),500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,352.0,0.0,352.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,3,EL CARRIZO,1,AHOME,6900,CARTAMO,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,378.0,345.0,33.0,414.0,1.2,6500.0,2691000.0
2011,25,SINALOA,133,LOS MOCHIS,3,EL CARRIZO,1,AHOME,7400,CEBOLLA,100,BLANCA,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,4.0,4.0,0.0,36.0,9.0,2200.0,79200.0
2011,25,SINALOA,133,LOS MOCHIS,3,EL CARRIZO,1,AHOME,11400,CHILE VERDE,200,JALAPEÑO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,221.0,88.0,133.0,880.0,10.0,3000.0,2640000.0
2011,25,SINALOA,133,LOS MOCHIS,3,EL CARRIZO,1,AHOME,11400,CHILE VERDE,1200,BELL PEPPER,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,50.0,0.0,50.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,3,EL CARRIZO,1,AHOME,12700,ELOTE,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,18.0,0.0,18.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,3,EL CARRIZO,1,AHOME,14200,FRIJOL,100,AZUFRADO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,1116.0,334.0,782.0,367.0,1.1,12000.0,4404000.0
2011,25,SINALOA,133,LOS MOCHIS,3,EL CARRIZO,1,AHOME,14200,FRIJOL,500,MAYOCOBA,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,235.0,71.0,164.0,78.0,1.1,12000.0,936000.0
2011,25,SINALOA,133,LOS MOCHIS,3,EL CARRIZO,1,AHOME,14700,GARBANZO GRANO,100,BLANCO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,5.0,0.0,5.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,3,EL CARRIZO,1,AHOME,15000,GIRASOL,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,115.0,0.0,115.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,3,EL CARRIZO,1,AHOME,16930,HORTALIZAS,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,17.0,0.0,17.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,3,EL CARRIZO,1,AHOME,19700,MAIZ GRANO,100,AMARILLO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,130.0,0.0,130.0,0.0,0.0,0.0,0.0
2011,25,SINALOA,133,LOS MOCHIS,3,EL CARRIZO,1,AHOME,19700,MAIZ GRANO,200,BLANCO,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,60392.0,21876.0,38516.0,155319.6,7.1,3710.0,576235716.0
2011,25,SINALOA,133,LOS MOCHIS,3,EL CARRIZO,1,AHOME,24400,PAPA,0,,500,Tonelada,1,OTOÑO-INVIERNO,1,RIEGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
